event_id,control_name,priority_level,priority_score,compliance_control,matched_rules
DRF00789,Control-95,HIGH,72.73,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00789,Control-95,HIGH,72.73,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00663,Control-30,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00663,Control-30,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00663,Control-30,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00663,Control-30,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00853,Control-78,MEDIUM,64.96,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00853,Control-78,MEDIUM,64.96,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00853,Control-78,MEDIUM,64.96,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00543,Control-56,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00543,Control-56,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00543,Control-56,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00543,Control-56,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00716,Control-79,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00716,Control-79,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00716,Control-79,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00716,Control-79,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00902,Control-71,HIGH,84.99,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00902,Control-71,HIGH,84.99,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00902,Control-71,HIGH,84.99,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00870,Control-87,MEDIUM,60.95,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00870,Control-87,MEDIUM,60.95,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00870,Control-87,MEDIUM,60.95,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00927,Control-62,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00927,Control-62,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00927,Control-62,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00927,Control-62,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00685,Control-89,HIGH,78.78,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00685,Control-89,HIGH,78.78,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00685,Control-89,HIGH,78.78,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00703,Control-1,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00703,Control-1,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00703,Control-1,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00703,Control-1,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00820,Control-54,HIGH,74.08,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00820,Control-54,HIGH,74.08,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00820,Control-54,HIGH,74.08,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00681,Control-97,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00681,Control-97,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00681,Control-97,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00681,Control-97,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00697,Control-78,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00697,Control-78,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00697,Control-78,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00697,Control-78,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00733,Control-90,HIGH,65.42,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00733,Control-90,HIGH,65.42,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00733,Control-90,HIGH,65.42,NIST SI-4,"[""DLP Rule Removed""]"
DRF00733,Control-90,HIGH,65.42,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00567,Control-30,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00567,Control-30,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00567,Control-30,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00567,Control-30,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00619,Control-42,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00619,Control-42,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00619,Control-42,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00619,Control-42,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00626,Control-97,MEDIUM,60.48,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00626,Control-97,MEDIUM,60.48,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00626,Control-97,MEDIUM,60.48,NIST SI-4,"[""DLP Rule Removed""]"
DRF00626,Control-97,MEDIUM,60.48,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00979,Control-3,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00979,Control-3,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00979,Control-3,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00979,Control-3,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00865,Control-80,HIGH,77.35,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00865,Control-80,HIGH,77.35,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00865,Control-80,HIGH,77.35,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00842,Control-82,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00842,Control-82,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00842,Control-82,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00842,Control-82,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00771,Control-44,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00771,Control-44,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00771,Control-44,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00771,Control-44,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00769,Control-82,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00769,Control-82,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00769,Control-82,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00769,Control-82,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00945,Control-71,HIGH,72.82,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00945,Control-71,HIGH,72.82,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00945,Control-71,HIGH,72.82,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00589,Control-18,HIGH,67.06,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00589,Control-18,HIGH,67.06,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00589,Control-18,HIGH,67.06,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00541,Control-71,HIGH,71.67,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00541,Control-71,HIGH,71.67,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00541,Control-71,HIGH,71.67,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00657,Control-94,HIGH,70.51,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00657,Control-94,HIGH,70.51,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00657,Control-94,HIGH,70.51,NIST SI-4,"[""DLP Rule Removed""]"
DRF00657,Control-94,HIGH,70.51,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00896,Control-88,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00896,Control-88,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00896,Control-88,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00896,Control-88,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00702,Control-14,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00702,Control-14,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00702,Control-14,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00702,Control-14,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00857,Control-47,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00857,Control-47,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00857,Control-47,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00857,Control-47,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00785,Control-27,HIGH,76.03,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00785,Control-27,HIGH,76.03,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00785,Control-27,HIGH,76.03,NIST SI-4,"[""DLP Rule Removed""]"
DRF00785,Control-27,HIGH,76.03,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00767,Control-40,HIGH,84.63,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00767,Control-40,HIGH,84.63,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00767,Control-40,HIGH,84.63,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00558,Control-79,HIGH,76.39,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00558,Control-79,HIGH,76.39,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00558,Control-79,HIGH,76.39,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00516,Control-97,HIGH,78.42,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00516,Control-97,HIGH,78.42,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00516,Control-97,HIGH,78.42,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00606,Control-76,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00606,Control-76,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00606,Control-76,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00606,Control-76,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00982,Control-35,HIGH,74.97,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00982,Control-35,HIGH,74.97,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00982,Control-35,HIGH,74.97,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00826,Control-45,HIGH,65.37,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00826,Control-45,HIGH,65.37,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00826,Control-45,HIGH,65.37,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00523,Control-46,HIGH,82.26,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00523,Control-46,HIGH,82.26,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00523,Control-46,HIGH,82.26,NIST SI-4,"[""DLP Rule Removed""]"
DRF00523,Control-46,HIGH,82.26,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00596,Control-98,HIGH,81.73,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00596,Control-98,HIGH,81.73,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00596,Control-98,HIGH,81.73,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00691,Control-33,CRITICAL,89.61,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00691,Control-33,CRITICAL,89.61,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00691,Control-33,CRITICAL,89.61,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00961,Control-88,HIGH,73.18,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00961,Control-88,HIGH,73.18,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00961,Control-88,HIGH,73.18,NIST SI-4,"[""DLP Rule Removed""]"
DRF00961,Control-88,HIGH,73.18,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00547,Control-53,MEDIUM,62.59,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00547,Control-53,MEDIUM,62.59,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00547,Control-53,MEDIUM,62.59,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00770,Control-41,HIGH,68.41,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00770,Control-41,HIGH,68.41,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00770,Control-41,HIGH,68.41,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00737,Control-60,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00737,Control-60,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00737,Control-60,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00737,Control-60,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00900,Control-40,HIGH,79.61,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00900,Control-40,HIGH,79.61,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00900,Control-40,HIGH,79.61,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00811,Control-70,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00811,Control-70,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00811,Control-70,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00811,Control-70,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00793,Control-70,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00793,Control-70,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00793,Control-70,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00793,Control-70,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00812,Control-11,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00812,Control-11,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00812,Control-11,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00812,Control-11,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00624,Control-97,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00624,Control-97,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00624,Control-97,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00624,Control-97,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00583,Control-98,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00583,Control-98,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00583,Control-98,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00583,Control-98,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00952,Control-5,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00952,Control-5,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00952,Control-5,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00952,Control-5,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00833,Control-89,HIGH,72.74,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00833,Control-89,HIGH,72.74,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00833,Control-89,HIGH,72.74,NIST SI-4,"[""DLP Rule Removed""]"
DRF00833,Control-89,HIGH,72.74,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00755,Control-38,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00755,Control-38,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00755,Control-38,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00755,Control-38,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00836,Control-90,CRITICAL,85.32,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00836,Control-90,CRITICAL,85.32,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00836,Control-90,CRITICAL,85.32,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00922,Control-81,HIGH,68.69,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00922,Control-81,HIGH,68.69,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00922,Control-81,HIGH,68.69,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00648,Control-66,HIGH,80.91,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00648,Control-66,HIGH,80.91,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00648,Control-66,HIGH,80.91,NIST SI-4,"[""DLP Rule Removed""]"
DRF00648,Control-66,HIGH,80.91,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00856,Control-63,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00856,Control-63,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00856,Control-63,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00856,Control-63,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00556,Control-39,HIGH,74.61,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00556,Control-39,HIGH,74.61,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00556,Control-39,HIGH,74.61,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00772,Control-66,HIGH,83.88,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00772,Control-66,HIGH,83.88,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00772,Control-66,HIGH,83.88,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00997,Control-44,HIGH,70.45,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00997,Control-44,HIGH,70.45,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00997,Control-44,HIGH,70.45,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00819,Control-95,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00819,Control-95,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00819,Control-95,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00819,Control-95,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00577,Control-58,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00577,Control-58,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00577,Control-58,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00577,Control-58,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00999,Control-61,CRITICAL,95.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00999,Control-61,CRITICAL,95.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00999,Control-61,CRITICAL,95.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00999,Control-61,CRITICAL,95.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00757,Control-59,HIGH,80.55,CIS Controls 3.13,"[""DLP Rule Removed""]"
DRF00757,Control-59,HIGH,80.55,GDPR Article 32,"[""DLP Rule Removed""]"
DRF00757,Control-59,HIGH,80.55,NIST SI-4,"[""DLP Rule Removed""]"
DRF00757,Control-59,HIGH,80.55,PCI DSS 12.3,"[""DLP Rule Removed""]"
DRF00639,Control-79,CRITICAL,92.0,CIS Controls 8.2,"[""Audit Logging Disabled""]"
DRF00639,Control-79,CRITICAL,92.0,NIST AU-2,"[""Audit Logging Disabled""]"
DRF00639,Control-79,CRITICAL,92.0,NIST AU-6,"[""Audit Logging Disabled""]"
DRF00639,Control-79,CRITICAL,92.0,PCI DSS 10.2,"[""Audit Logging Disabled""]"
DRF00985,Control-45,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00985,Control-45,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00985,Control-45,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00985,Control-45,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00653,Control-64,HIGH,73.17,CIS Controls 4.1,"[""Cloud Security Policy Removed""]"
DRF00653,Control-64,HIGH,73.17,NIST CM-3,"[""Cloud Security Policy Removed""]"
DRF00653,Control-64,HIGH,73.17,PCI DSS 6.5.1,"[""Cloud Security Policy Removed""]"
DRF00509,Control-66,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00509,Control-66,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00509,Control-66,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00509,Control-66,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00863,Control-39,HIGH,76.72,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00863,Control-39,HIGH,76.72,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00863,Control-39,HIGH,76.72,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00970,Control-37,HIGH,77.05,CIS Controls 10.1,"[""Endpoint Protection Disabled""]"
DRF00970,Control-37,HIGH,77.05,NIST SI-3,"[""Endpoint Protection Disabled""]"
DRF00970,Control-37,HIGH,77.05,PCI DSS 5.2,"[""Endpoint Protection Disabled""]"
DRF00808,Control-85,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00808,Control-85,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00808,Control-85,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00808,Control-85,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00705,Control-33,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00705,Control-33,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00705,Control-33,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00705,Control-33,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00797,Control-2,CRITICAL,93.0,CIS Controls 3.11,"[""Encryption Downgrade""]"
DRF00797,Control-2,CRITICAL,93.0,GDPR Article 32,"[""Encryption Downgrade""]"
DRF00797,Control-2,CRITICAL,93.0,NIST SC-13,"[""Encryption Downgrade""]"
DRF00797,Control-2,CRITICAL,93.0,PCI DSS 3.5,"[""Encryption Downgrade""]"
DRF00726,Control-76,HIGH,82.9,CIS Controls 3.13,"[""DLP Rule Removed""]"
